nav-link href,listing-location,price,bed,bath,listing-floorarea,listing-floorarea 2
https://www.rumah.com/listing-properti/dijual-dijual-rumah-siap-huni-di-kebayoran-residence-bintaro-jaya-oleh-amelia-putri-21762465,"Bintaro, Tangerang Selatan, Banten","6,5 M",7,5,299 m²,Rp 25.490.196 per m²
https://www.rumah.com/listing-properti/dijual-rumah-strategis-siap-kpr-di-layton-navapark-bsd-city-oleh-sri-rejeki-dwd-sh-se-mm-21762430,"Jl Grand Boulevard BSD City Pagedangan, BSD, Tangerang Selatan, Banten","37,07 M",5,4,635 m²,Rp 56.943.164 per m²
https://www.rumah.com/listing-properti/dijual-rumah-modern-minimalis-style-dalam-komplek-di-pamulang-oleh-rambo-21099780,"Pamulang, Pamulang, Tangerang Selatan, Banten","1,4 M",3,2,125 m²,Rp 10.000.000 per m²
https://www.rumah.com/listing-properti/dijual-ciputat-oleh-hambali-17495887,"Jln . Dewi sartika, Ciputat, Tangerang Selatan, Banten",400 jt,2,1,45 m²,Rp 6.060.606 per m²
https://www.rumah.com/listing-properti/dijual-pamulang-oleh-hambali-18525197,"Jln.viktor, Pamulang, Tangerang Selatan, Banten",425 jt,2,1,45 m²,Rp 6.439.394 per m²
https://www.rumah.com/listing-properti/dijual-mabbruk-jaya-residen-oleh-hambali-19346736,"Jln.pendidikan, Pamulang, Tangerang Selatan, Banten",400 jt,2,1,45 m²,Rp 6.060.606 per m²
https://www.rumah.com/listing-properti/dijual-discovery-bintaro-oleh-nani-roestini-21762419,"Bintaro, Tangerang Selatan, Banten","3,7 M",4,3,180 m²,Rp 24.666.667 per m²
https://www.rumah.com/listing-properti/dijual-griya-loka-bsd-oleh-muhammad-ichsan-fadhilah-21762386,"BSD, Tangerang Selatan, Banten","5,8 M",5,4,210 m²,Rp 15.303.430 per m²
https://www.rumah.com/listing-properti/dijual-layto-navapark-rumah-mewah-3-lantai-nyaman-asri-bebas-banjir-di-bsd-oleh-sri-rejeki-dwd-sh-se-mm-21762367,"Jl Grand Boulevard BSD City Padegangan, Alam Sutera, Tangerang Selatan, Banten","60,345636 M",5,4,635 m²,Rp 63.993.251 per m²
https://www.rumah.com/listing-properti/dijual-green-cove-bsd-oleh-chatarina-17019920,"green cove bsd, BSD, Tangerang Selatan, Banten","8,5 M",4,3,330 m²,Rp 25.373.134 per m²
